id_oferta,id_curso,id_municipio,modalidade_graduacao,turno_graduacao,categoria_administrativa
47933,72,3541000,Presencial,Integral,Pública Estadual
47934,72,3541000,Presencial,Matutino,Pública Estadual
47935,2001,3300605,Presencial,Noturno,Pública Estadual
47936,2001,3300605,Presencial,Vespertino,Pública Estadual
47937,6409,3523909,Presencial,Noturno,Pública Estadual
47938,6409,3523909,Presencial,Matutino,Pública Estadual
47939,6409,3523909,Presencial,Integral,Pública Estadual
47940,6409,3523909,Presencial,Vespertino,Pública Estadual
47941,2001,3111200,Presencial,Noturno,Privada sem fins lucrativos
47942,2001,3111200,Presencial,Matutino,Privada sem fins lucrativos
47943,2001,3111200,Presencial,Vespertino,Privada sem fins lucrativos
47944,904,2927408,EAD,Noturno,Privada com fins lucrativos
47945,904,2927408,EAD,Vespertino,Privada com fins lucrativos
47946,904,2927408,EAD,Integral,Privada com fins lucrativos
47947,904,2927408,EAD,Matutino,Privada com fins lucrativos
47948,72,3530607,Presencial,Noturno,Pública Estadual
47949,72,3530607,Presencial,Vespertino,Pública Estadual
47950,72,3530607,Presencial,Integral,Pública Estadual
47951,72,3530607,Presencial,Matutino,Pública Estadual
47952,79,3520509,Presencial,Matutino,Pública Estadual
47953,79,3520509,Presencial,Noturno,Pública Estadual
47954,79,3520509,Presencial,Vespertino,Pública Estadual
47955,6407,1702109,Presencial,Integral,Pública Federal
47956,6407,1702109,Presencial,Noturno,Pública Federal
47957,1602,3543907,Presencial,Noturno,Pública Estadual
47958,1602,3543907,Presencial,Matutino,Pública Estadual
47959,1602,3543907,Presencial,Integral,Pública Estadual
47960,4005,1502400,Presencial,Integral,Pública Federal
47961,4005,1502400,Presencial,Noturno,Pública Federal
47962,4005,1502400,Presencial,Matutino,Pública Federal
47963,4005,1502400,Presencial,Vespertino,Pública Federal
47964,4005,4108403,Presencial,Integral,Pública Federal
47965,4005,4108403,Presencial,Noturno,Pública Federal
47966,4005,4108403,Presencial,Vespertino,Pública Federal
47967,904,2702405,Presencial,Integral,Pública Federal
47968,904,2702405,Presencial,Noturno,Pública Federal
47969,904,2702405,Presencial,Vespertino,Pública Federal
47970,904,2702405,Presencial,Matutino,Pública Federal
47971,2402,2702405,Presencial,Noturno,Pública Federal
47972,2402,2702405,Presencial,Integral,Pública Federal
